person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
61,119025,RENT,6.6,MEDICAL,C,33398,6.42,0.281,N,6,0
41,100764,RENT,6.0,PERSONAL,D,34076,11.78,0.338,N,25,0
29,28642,MORTGAGE,2.2,PERSONAL,C,11224,10.38,0.392,N,8,0
54,34512,MORTGAGE,3.6,HOMEIMPROVEMENT,A,31460,11.52,0.912,N,17,0
49,49555,RENT,10.4,HOMEIMPROVEMENT,A,22000,11.71,0.444,N,21,0
45,49484,RENT,0.5,VENTURE,E,1984,7.06,0.04,Y,17,0
31,132902,MORTGAGE,3.3,VENTURE,B,29081,11.57,0.219,Y,4,1
52,35803,RENT,10.6,PERSONAL,E,15158,8.21,0.423,Y,19,1
57,55389,RENT,13.2,VENTURE,A,10771,6.28,0.194,N,10,0
38,34472,RENT,5.4,DEBTCONSOLIDATION,A,31781,5.63,0.922,N,20,0
48,22849,RENT,3.5,PERSONAL,E,33294,6.89,1.457,N,5,1
45,79729,MORTGAGE,8.2,DEBTCONSOLIDATION,A,25480,10.65,0.32,N,11,0
27,27400,RENT,,VENTURE,A,20935,7.05,0.764,N,2,0
28,31176,RENT,0.8,VENTURE,B,18071,5.0,0.58,N,24,0
38,62737,RENT,2.6,VENTURE,B,30927,10.83,0.493,N,21,0
36,58299,MORTGAGE,7.8,HOMEIMPROVEMENT,F,33018,10.51,0.566,N,6,0
54,131589,MORTGAGE,3.1,DEBTCONSOLIDATION,C,24234,6.5,0.184,N,28,0
22,64343,RENT,0.8,HOMEIMPROVEMENT,B,21790,11.53,0.339,Y,12,1
64,80494,OWN,9.4,MEDICAL,C,32844,11.48,0.408,N,11,0
47,23905,OWN,9.4,MEDICAL,A,29881,12.42,1.25,Y,19,1
40,19744,MORTGAGE,4.3,HOMEIMPROVEMENT,A,19849,9.09,1.005,Y,22,1
56,38916,MORTGAGE,6.8,VENTURE,A,793,,0.02,N,8,0
33,50539,RENT,1.2,EDUCATION,B,33038,14.85,0.654,N,28,1
48,61007,MORTGAGE,,DEBTCONSOLIDATION,D,1799,6.1,0.029,N,28,0
63,34800,RENT,13.3,HOMEIMPROVEMENT,E,6925,12.75,0.199,N,16,0
39,30040,RENT,,PERSONAL,D,12060,11.15,0.401,N,27,0
62,83223,MORTGAGE,0.4,DEBTCONSOLIDATION,B,5373,12.48,0.065,N,5,0
41,37914,MORTGAGE,0.6,HOMEIMPROVEMENT,A,10624,8.28,0.28,N,11,0
61,37931,MORTGAGE,3.4,HOMEIMPROVEMENT,A,3492,7.37,0.092,N,28,0
32,118866,RENT,4.7,PERSONAL,C,17493,5.0,0.147,N,6,0
34,31751,RENT,6.5,EDUCATION,B,17837,13.74,0.562,N,16,1
45,88364,RENT,11.2,HOMEIMPROVEMENT,D,33923,15.78,0.384,N,19,0
53,34414,MORTGAGE,10.7,EDUCATION,E,30208,16.91,0.878,N,27,1
33,26693,RENT,6.2,VENTURE,E,27971,14.39,1.048,N,29,0
59,86349,RENT,4.4,VENTURE,D,27571,10.98,0.319,N,5,0
36,32045,RENT,4.0,VENTURE,E,17988,8.19,0.561,N,17,1
31,44430,RENT,,PERSONAL,A,27867,8.57,0.627,N,29,0
49,63550,MORTGAGE,1.6,MEDICAL,B,22084,9.49,0.348,N,29,0
23,59971,RENT,12.0,MEDICAL,A,25888,11.51,0.432,N,27,0
64,99133,RENT,1.9,EDUCATION,D,7432,15.13,0.075,N,19,0
44,113917,RENT,5.5,DEBTCONSOLIDATION,C,7449,10.43,0.065,N,19,0
26,74075,OWN,7.3,HOMEIMPROVEMENT,E,33341,11.21,0.45,N,2,1
54,29082,OWN,3.5,HOMEIMPROVEMENT,C,26991,15.05,0.928,N,4,1
21,71212,OWN,21.0,PERSONAL,D,20119,10.5,0.283,N,18,0
46,44820,RENT,3.9,VENTURE,C,9340,13.32,0.208,N,20,0
62,78274,MORTGAGE,,EDUCATION,A,19341,5.98,0.247,N,15,0
36,71251,MORTGAGE,,HOMEIMPROVEMENT,F,14804,8.06,0.208,Y,4,0
34,54195,RENT,5.5,DEBTCONSOLIDATION,E,34121,7.97,0.63,N,12,1
32,116023,RENT,11.2,HOMEIMPROVEMENT,E,12655,17.15,0.109,N,26,1
43,112651,MORTGAGE,6.2,VENTURE,A,2936,9.11,0.026,N,23,0
46,104128,MORTGAGE,4.7,HOMEIMPROVEMENT,G,10067,13.48,0.097,N,28,1
50,55728,MORTGAGE,9.2,VENTURE,A,31463,10.07,0.565,N,14,0
43,88738,RENT,2.6,DEBTCONSOLIDATION,C,29242,10.07,0.33,N,21,0
38,56718,MORTGAGE,4.3,EDUCATION,A,11320,7.79,0.2,N,20,0
34,68816,RENT,7.6,DEBTCONSOLIDATION,B,20608,9.33,0.299,N,14,0
45,61458,MORTGAGE,2.9,VENTURE,F,27639,9.74,0.45,N,16,0
22,122162,RENT,4.4,VENTURE,A,13195,,0.108,N,23,1
46,48670,RENT,4.3,VENTURE,D,1425,5.68,0.029,N,16,0
42,55407,MORTGAGE,4.8,DEBTCONSOLIDATION,B,2142,11.53,0.039,Y,11,0
35,35496,RENT,7.2,MEDICAL,A,27463,5.43,0.774,Y,3,0
57,60420,RENT,1.2,HOMEIMPROVEMENT,F,13225,6.4,0.219,Y,25,1
28,37596,RENT,16.3,DEBTCONSOLIDATION,A,15057,12.17,0.4,N,8,0
26,168704,MORTGAGE,3.4,DEBTCONSOLIDATION,C,9282,8.54,0.055,Y,2,0
44,43441,MORTGAGE,7.0,EDUCATION,C,31725,10.9,0.73,N,19,1
24,26758,RENT,6.5,MEDICAL,B,15761,15.26,0.589,N,7,0
55,59813,RENT,0.3,PERSONAL,B,30932,18.09,0.517,N,14,0
41,104825,MORTGAGE,10.8,EDUCATION,A,10129,,0.097,N,13,0
63,131412,OWN,2.9,HOMEIMPROVEMENT,B,34731,14.89,0.264,Y,18,1
36,47437,RENT,18.4,VENTURE,B,7812,13.19,0.165,N,28,1
26,166568,MORTGAGE,,MEDICAL,C,10148,7.69,0.061,Y,23,1
64,50859,RENT,1.7,DEBTCONSOLIDATION,B,18103,13.62,0.356,N,12,0
52,60198,RENT,7.0,MEDICAL,B,31423,6.85,0.522,N,25,0
55,62264,OTHER,4.5,MEDICAL,A,25860,10.75,0.415,N,7,0
21,71658,MORTGAGE,,MEDICAL,E,25557,12.41,0.357,N,23,1
42,55343,RENT,2.5,HOMEIMPROVEMENT,C,20035,10.21,0.362,N,5,0
45,19903,RENT,1.8,VENTURE,A,11000,12.97,0.553,N,8,0
27,24877,RENT,6.9,MEDICAL,B,9857,12.04,0.396,N,10,0
57,32193,MORTGAGE,7.1,VENTURE,B,25872,8.01,0.804,N,4,1
60,26073,RENT,2.0,PERSONAL,C,1018,12.6,0.039,N,19,0
53,229637,RENT,,EDUCATION,A,23668,8.28,0.103,N,20,0
46,35818,MORTGAGE,4.1,EDUCATION,B,22468,8.42,0.627,N,14,0
49,33972,RENT,4.8,VENTURE,C,32069,12.45,0.944,N,21,1
21,50300,RENT,2.1,EDUCATION,F,8314,15.44,0.165,Y,21,1
60,49433,MORTGAGE,7.5,PERSONAL,A,28167,8.24,0.57,Y,16,1
22,97981,RENT,9.1,VENTURE,D,16726,11.26,0.171,N,10,0
50,33573,RENT,2.6,PERSONAL,C,2529,17.31,0.075,Y,20,1
46,54063,RENT,0.9,VENTURE,E,7191,12.03,0.133,N,25,0
25,27255,RENT,,PERSONAL,D,1597,12.5,0.059,N,2,0
63,25334,RENT,17.2,MEDICAL,C,24512,12.42,0.968,N,7,0
46,51603,MORTGAGE,3.1,DEBTCONSOLIDATION,B,20836,10.28,0.404,N,15,0
58,47690,MORTGAGE,15.3,MEDICAL,C,1032,11.8,0.022,N,28,0
55,35083,MORTGAGE,6.1,VENTURE,D,16858,8.35,0.481,Y,19,0
28,76772,OWN,8.9,MEDICAL,C,26369,13.23,0.343,Y,18,0
47,120670,MORTGAGE,1.3,PERSONAL,B,25613,11.69,0.212,N,9,0
28,46991,MORTGAGE,3.8,DEBTCONSOLIDATION,G,27624,9.6,0.588,Y,15,0
49,25567,RENT,1.9,HOMEIMPROVEMENT,E,19381,13.79,0.758,N,12,0
64,56757,MORTGAGE,17.3,PERSONAL,D,23554,11.49,0.415,N,7,1
29,48848,MORTGAGE,,HOMEIMPROVEMENT,B,16983,14.81,0.348,N,15,0
26,36979,RENT,5.0,VENTURE,B,25823,,0.698,N,29,1
25,31100,RENT,3.7,EDUCATION,B,12446,9.17,0.4,N,14,0
25,34890,RENT,5.6,PERSONAL,E,12513,9.52,0.359,N,7,0
60,28996,RENT,2.5,EDUCATION,C,5246,11.19,0.181,Y,2,0
55,27192,RENT,6.5,VENTURE,A,29692,10.37,1.092,N,26,0
50,69739,RENT,2.6,PERSONAL,B,28267,8.23,0.405,N,3,0
62,90548,MORTGAGE,,DEBTCONSOLIDATION,A,26325,11.59,0.291,N,2,0
48,24809,OWN,1.3,MEDICAL,D,9958,6.2,0.401,N,23,0
62,62354,RENT,12.9,HOMEIMPROVEMENT,A,6354,8.74,0.102,N,20,0
45,46863,RENT,13.7,PERSONAL,B,29648,,0.633,Y,9,0
48,44791,RENT,4.0,HOMEIMPROVEMENT,F,11137,8.27,0.249,Y,4,0
43,39925,OWN,3.8,HOMEIMPROVEMENT,B,33501,9.98,0.839,N,9,1
64,28198,RENT,,PERSONAL,C,5832,13.68,0.207,N,22,0
41,18499,RENT,6.1,MEDICAL,B,22268,14.93,1.204,N,21,1
34,66555,MORTGAGE,8.0,PERSONAL,B,7425,14.74,0.112,N,4,0
23,80716,RENT,3.9,HOMEIMPROVEMENT,C,26456,6.94,0.328,N,18,0
42,44569,RENT,9.9,PERSONAL,D,12987,15.83,0.291,N,15,1
41,106724,MORTGAGE,2.0,EDUCATION,C,18649,11.79,0.175,N,13,0
21,44774,MORTGAGE,5.5,MEDICAL,A,15930,,0.356,N,25,1
64,35929,RENT,2.6,HOMEIMPROVEMENT,C,22631,15.69,0.63,N,13,0
47,19054,RENT,4.9,EDUCATION,E,17259,14.62,0.906,Y,8,0
57,43201,RENT,4.6,DEBTCONSOLIDATION,D,25136,15.05,0.582,N,14,0
24,44847,RENT,7.6,MEDICAL,B,11234,7.1,0.25,N,13,0
29,13932,RENT,4.2,VENTURE,A,6844,,0.491,N,3,0
43,55231,RENT,6.0,MEDICAL,B,12863,14.44,0.233,N,11,1
61,50969,MORTGAGE,3.2,EDUCATION,C,13162,12.96,0.258,N,2,1
48,45245,RENT,2.2,MEDICAL,B,23036,14.96,0.509,N,16,0
61,81443,RENT,1.2,MEDICAL,B,587,,0.007,N,7,0
38,45765,OTHER,5.1,EDUCATION,A,2031,13.94,0.044,N,5,0
26,59729,RENT,6.6,PERSONAL,A,30406,11.9,0.509,N,12,0
20,30447,MORTGAGE,,VENTURE,D,34773,5.0,1.142,N,4,1
59,51249,MORTGAGE,3.1,MEDICAL,B,2818,9.51,0.055,N,4,0
34,31297,RENT,16.2,DEBTCONSOLIDATION,D,3707,10.89,0.118,N,6,0
26,87089,OWN,1.6,EDUCATION,G,32793,9.92,0.377,N,3,1
22,83359,RENT,0.6,MEDICAL,A,21184,12.97,0.254,N,18,0
59,141610,MORTGAGE,0.6,PERSONAL,C,13934,13.45,0.098,N,17,0
56,25015,RENT,3.3,HOMEIMPROVEMENT,C,20348,17.7,0.813,N,8,1
55,48118,RENT,5.7,VENTURE,G,22829,9.54,0.474,N,17,1
37,79803,RENT,7.0,VENTURE,D,1685,9.34,0.021,Y,20,0
31,70264,RENT,6.2,PERSONAL,D,14395,10.89,0.205,N,22,0
47,52805,RENT,5.6,PERSONAL,D,31734,7.91,0.601,Y,20,1
35,74345,RENT,7.2,MEDICAL,D,11677,8.35,0.157,Y,26,1
58,73936,OWN,2.5,HOMEIMPROVEMENT,D,17514,7.78,0.237,N,2,1
36,81294,RENT,2.1,MEDICAL,D,25737,11.15,0.317,N,12,0
40,29843,RENT,1.2,DEBTCONSOLIDATION,C,19788,8.2,0.663,N,12,1
42,53147,RENT,5.4,DEBTCONSOLIDATION,D,10856,9.06,0.204,N,28,0
34,53572,MORTGAGE,10.6,MEDICAL,A,20208,17.44,0.377,Y,18,0
41,70237,RENT,,PERSONAL,B,30151,13.79,0.429,N,21,0
35,32185,MORTGAGE,1.9,DEBTCONSOLIDATION,B,28066,9.53,0.872,N,9,1
53,29125,MORTGAGE,4.3,DEBTCONSOLIDATION,A,29751,14.15,1.021,N,22,0
38,96795,RENT,5.3,EDUCATION,C,20612,6.4,0.213,Y,19,0
52,48726,RENT,5.7,EDUCATION,D,3816,5.0,0.078,N,8,0
62,115260,RENT,4.0,HOMEIMPROVEMENT,A,21465,9.64,0.186,N,24,0
64,54839,RENT,8.5,EDUCATION,F,3657,13.03,0.067,Y,2,1
58,22054,RENT,3.5,MEDICAL,C,1944,11.42,0.088,N,7,0
45,59614,RENT,3.4,PERSONAL,B,857,5.0,0.014,Y,18,0
43,45751,RENT,1.4,PERSONAL,B,30084,10.3,0.658,N,6,1
53,39908,MORTGAGE,2.2,EDUCATION,A,7711,10.63,0.193,N,5,1
40,84419,RENT,3.2,DEBTCONSOLIDATION,A,24071,8.25,0.285,N,19,0
36,82889,OWN,7.2,PERSONAL,D,14795,12.45,0.178,N,26,0
51,29073,RENT,,MEDICAL,A,31529,15.16,1.084,N,11,0
49,24822,RENT,1.8,VENTURE,B,25530,14.6,1.029,N,29,0
59,41589,RENT,3.9,HOMEIMPROVEMENT,F,9808,6.13,0.236,Y,15,1
62,59843,MORTGAGE,,PERSONAL,C,11407,11.31,0.191,N,4,1
62,45865,MORTGAGE,8.9,PERSONAL,B,24268,11.15,0.529,N,26,0
23,32465,MORTGAGE,1.3,MEDICAL,A,6704,13.88,0.206,N,22,0
56,22544,MORTGAGE,2.1,VENTURE,A,32154,,1.426,N,17,1
40,64736,RENT,,MEDICAL,A,4649,5.71,0.072,N,6,0
41,16295,MORTGAGE,6.8,VENTURE,D,5652,10.25,0.347,N,13,0
59,108673,RENT,8.5,VENTURE,C,4211,7.56,0.039,N,18,0
57,38982,RENT,10.0,HOMEIMPROVEMENT,E,19999,9.94,0.513,N,4,1
62,25417,MORTGAGE,,VENTURE,C,14953,8.14,0.588,Y,25,1
33,55556,RENT,5.5,MEDICAL,C,18627,13.69,0.335,Y,16,1
51,29596,RENT,3.8,DEBTCONSOLIDATION,C,11734,,0.396,N,24,1
23,51332,MORTGAGE,1.6,VENTURE,B,32911,10.91,0.641,N,10,0
45,21877,RENT,10.2,PERSONAL,D,25740,12.39,1.177,N,15,1
35,21523,RENT,5.0,EDUCATION,D,15865,5.65,0.737,N,19,1
43,50554,MORTGAGE,6.7,EDUCATION,E,15009,11.77,0.297,Y,21,1
49,36687,MORTGAGE,6.2,DEBTCONSOLIDATION,B,25464,,0.694,N,14,1
23,101629,MORTGAGE,2.6,PERSONAL,D,21253,6.81,0.209,N,29,0
35,31030,MORTGAGE,10.2,EDUCATION,C,28919,14.08,0.932,Y,26,1
31,36716,OWN,8.9,VENTURE,B,17299,14.75,0.471,N,27,1
23,109942,RENT,,EDUCATION,A,26748,5.71,0.243,Y,7,0
64,26476,RENT,9.7,EDUCATION,C,22267,7.47,0.841,N,6,1
57,71647,RENT,6.3,MEDICAL,A,12071,11.0,0.168,N,9,0
32,40235,RENT,5.1,MEDICAL,B,20157,11.99,0.501,N,27,1
33,29191,MORTGAGE,3.5,DEBTCONSOLIDATION,D,11147,7.16,0.382,N,3,1
42,29246,RENT,1.4,DEBTCONSOLIDATION,B,7459,11.76,0.255,N,20,0
32,72479,MORTGAGE,14.9,EDUCATION,C,34373,14.74,0.474,N,7,0
26,96880,OWN,1.2,EDUCATION,B,16636,12.72,0.172,N,28,0
64,65233,MORTGAGE,3.6,MEDICAL,C,12623,8.8,0.194,N,22,1
50,123260,MORTGAGE,2.1,MEDICAL,B,26552,7.06,0.215,N,21,0
20,56215,MORTGAGE,14.9,VENTURE,C,26386,14.45,0.469,N,12,1
42,110896,RENT,8.3,DEBTCONSOLIDATION,A,15474,12.75,0.14,N,22,1
42,41478,OWN,7.0,DEBTCONSOLIDATION,B,33808,5.58,0.815,Y,29,0
60,47575,RENT,10.0,VENTURE,A,8563,14.87,0.18,N,8,0
35,38399,RENT,3.7,MEDICAL,B,30676,7.15,0.799,N,24,1
63,28919,MORTGAGE,16.0,DEBTCONSOLIDATION,A,22499,7.43,0.778,N,28,0
49,71623,MORTGAGE,,VENTURE,B,25316,,0.353,N,22,0
32,121402,OWN,1.7,HOMEIMPROVEMENT,F,3323,,0.027,N,24,0
58,47735,OWN,3.1,EDUCATION,A,24622,11.27,0.516,N,10,0
42,62495,MORTGAGE,5.1,PERSONAL,C,23887,8.74,0.382,N,27,1
36,84663,MORTGAGE,5.0,PERSONAL,B,10887,13.03,0.129,N,4,0
38,44259,MORTGAGE,1.3,MEDICAL,C,23754,12.7,0.537,N,12,1
20,39497,MORTGAGE,1.9,DEBTCONSOLIDATION,B,10589,5.0,0.268,Y,5,0
58,65728,RENT,6.1,EDUCATION,B,519,,0.008,N,19,0
52,99984,MORTGAGE,6.7,PERSONAL,A,9784,10.5,0.098,N,20,0
44,24280,RENT,0.6,MEDICAL,A,34462,11.34,1.419,N,12,1
54,110392,MORTGAGE,4.0,MEDICAL,D,1132,16.97,0.01,N,22,1
31,47102,RENT,6.5,EDUCATION,C,12467,8.61,0.265,N,8,0
58,34811,RENT,9.3,VENTURE,B,16143,5.4,0.464,Y,16,0
34,37544,RENT,2.6,DEBTCONSOLIDATION,C,580,9.16,0.015,N,12,0
58,22850,MORTGAGE,11.7,VENTURE,A,31976,18.64,1.399,N,8,1
44,77580,OWN,4.2,MEDICAL,F,28528,15.81,0.368,N,3,1
44,30356,RENT,11.5,VENTURE,C,17592,14.62,0.58,N,20,0
53,64516,RENT,1.7,VENTURE,A,22673,11.11,0.351,N,18,0
33,41015,MORTGAGE,4.2,EDUCATION,B,7408,7.74,0.181,N,7,0
40,38173,RENT,,EDUCATION,C,5915,11.29,0.155,N,4,0
